bowler,team,matches,innings,overs,balls,runs_conceded,wickets,economy,average,strike_rate,dot_pct,4w,5w,best_bowling
Shafiul Islam,Bangladesh,58,58,427.5,2565,2528,73,5.91,34.63,35.14,51.73,5,1,5/68
Shahadat Hossain,Bangladesh,33,33,265.5,1593,1598,28,6.02,57.07,56.89,50.41,0,0,3/46
Shaheen Shah Afridi,Pakistan,65,66,571.3,3428,3246,127,5.68,25.56,26.99,53.76,10,4,6/40
Shahid Afridi,Pakistan,200,200,1738.8,10433,8118,259,4.67,31.34,40.28,47.98,14,7,7/14
Shakib Al Hasan,Bangladesh,205,205,1792.3,10754,8249,279,4.6,29.57,38.54,52.26,13,3,5/30
Shoaib Akhtar,Pakistan,69,69,600.0,3600,2948,104,4.91,28.35,34.62,56.0,6,0,4/31
Shoaib Malik,Pakistan,163,163,955.8,5735,4522,133,4.73,34.0,43.12,47.64,4,0,4/23
Shoriful Islam,Bangladesh,31,31,240.8,1445,1379,46,5.73,29.98,31.41,54.05,2,0,4/35
Sikandar Raza,Zimbabwe,100,100,709.5,4257,3476,83,4.9,41.88,51.29,47.78,4,0,4/41
Sohail Tanvir,Pakistan,59,59,514.7,3088,2618,75,5.09,34.91,41.17,53.4,6,1,5/49
Sompal Kami,Nepal,60,60,461.5,2769,2457,86,5.32,28.57,32.2,55.94,3,1,5/35
Syed Rasel,Bangladesh,40,40,349.2,2095,1634,53,4.68,30.83,39.53,59.76,1,0,4/23
T Lungameni,Namibia,34,34,268.5,1611,1218,51,4.54,23.88,31.59,58.66,2,1,6/43
T Mupariwa,Zimbabwe,28,28,236.2,1417,1225,39,5.19,31.41,36.33,52.01,2,0,4/39
T Panyangara,Zimbabwe,50,50,445.8,2675,2463,60,5.52,41.05,44.58,54.54,1,0,4/28
T Shamsi,South Africa,52,52,463.3,2780,2543,75,5.49,33.91,37.07,46.58,5,1,5/49
T Thushara,Sri Lanka,35,35,269.3,1616,1378,50,5.12,27.56,32.32,53.84,2,1,5/47
TA Boult,New Zealand,110,111,1038.3,6230,5190,219,5.0,23.7,28.45,56.63,20,6,7/35
TG Southee,New Zealand,150,150,1319.5,7917,7284,230,5.52,31.67,34.42,53.27,10,3,7/36
TJ Murtagh,Ireland,31,31,279.2,1675,1288,48,4.61,26.83,34.9,60.24,3,1,5/21
TK Curran,England,28,28,223.3,1340,1315,38,5.89,34.61,35.26,43.96,4,1,5/41
TL Best,West Indies,22,22,195.8,1175,994,36,5.08,27.61,32.64,53.87,2,0,4/37
TL Chatara,Zimbabwe,70,70,599.2,3595,3171,99,5.29,32.03,36.31,52.91,2,0,4/33
TM Dilshan,Sri Lanka,180,180,856.8,5141,4197,97,4.9,43.27,53.0,44.23,1,0,4/4
TM Head,Australia,42,42,200.5,1203,1153,30,5.75,38.43,40.1,41.31,2,1,5/57
TM McGrath,Australia,37,37,183.2,1099,960,30,5.24,32.0,36.63,46.59,0,0,3/4
TM Odoyo,Kenya,36,36,272.5,1635,1172,45,4.3,26.04,36.33,60.98,3,0,4/29
TS Sekhukhune,South Africa,33,33,264.0,1584,1290,38,4.89,33.95,41.68,54.1,1,0,4/51
TT Bresnan,England,83,83,716.7,4300,3879,120,5.41,32.33,35.83,50.0,5,1,5/49
Tapash Baisya,Bangladesh,25,25,195.0,1170,1112,28,5.7,39.71,41.79,54.44,1,0,4/17
Taskin Ahmed,Bangladesh,68,68,569.2,3415,3046,97,5.35,31.4,35.21,53.27,6,2,5/28
UDU Chandana,Sri Lanka,26,26,209.2,1255,1022,38,4.89,26.89,33.03,50.04,1,1,5/61
UT Yadav,India,73,73,616.8,3701,3659,116,5.93,31.54,31.91,50.69,6,1,5/31
Umar Gul,Pakistan,118,118,970.0,5820,5039,170,5.19,29.64,34.24,55.69,6,2,6/42
V Sehwag,India,86,86,412.5,2475,2083,58,5.05,35.91,42.67,43.52,1,0,4/6
VD Philander,South Africa,28,28,219.8,1319,1015,42,4.62,24.17,31.4,58.45,2,0,4/12
VJ Kingma,Netherlands,27,27,210.2,1261,1059,39,5.04,27.15,32.33,59.32,0,0,3/15
WB Rankin,Ireland,47,47,414.8,2489,1996,67,4.81,29.79,37.15,56.09,3,0,4/16
WD Parnell,South Africa,69,69,556.7,3340,3090,110,5.55,28.09,30.36,50.84,7,2,5/49
WGAKK Kulasuriya,Sri Lanka,26,26,178.3,1070,869,24,4.87,36.21,44.58,55.05,1,0,4/50
