keeper,catches,stumpings,total_dismissals,matches_as_keeper,batter,team,matches,innings,dismisals,not_out,runs,balls,fours,sixes,50s,100s,highest_score,strike_rate,average,dismissals_per_match,catches_per_match,stumpings_per_match,runs_score,keeping_score,keeper_score
RH Priest,30,5,35,21,RH Priest,New Zealand,28,28,28,0,661,816,97,4,4,1,108,81.0,23.61,1.67,1.43,0.24,5.68,8.22,6.95
RM Ghosh,36,9,45,32,RM Ghosh,India,52,52,42,10,1208,1210,126,38,7,0,96,99.83,28.76,1.41,1.12,0.28,10.38,10.56,10.47
RR Pant,27,1,28,17,RR Pant,India,27,27,26,1,871,846,91,26,5,1,125,102.96,33.5,1.65,1.59,0.06,7.48,6.57,7.02
RS Kaluwitharana,4,2,6,4,RS Kaluwitharana,Sri Lanka,8,8,7,1,176,246,22,1,2,0,54,71.54,25.14,1.5,1.0,0.5,1.51,1.41,1.46
RS Williams,10,3,13,10,RS Williams,West Indies,33,33,31,2,477,1032,44,2,2,0,78,46.22,15.39,1.3,1.0,0.3,4.1,3.05,3.58
RV Uthappa,21,2,23,17,RV Uthappa,India,41,41,36,5,934,1070,108,19,6,0,86,87.29,25.94,1.35,1.24,0.12,8.02,5.4,6.71
RW Chakabva,44,4,48,25,RW Chakabva,Zimbabwe,50,50,47,3,1106,1650,88,8,4,1,102,67.03,23.53,1.92,1.76,0.16,9.5,11.27,10.38
Rabiya Shah,5,1,6,5,Rabiya Shah,Pakistan,6,6,5,1,80,127,10,0,0,0,34,62.99,16.0,1.2,1.0,0.2,0.69,1.41,1.05
Rashid Latif,26,4,30,14,Rashid Latif,Pakistan,17,17,15,2,335,408,22,6,0,0,38,82.11,22.33,2.14,1.86,0.29,2.88,7.04,4.96
S Jafta,46,4,50,31,S Jafta,South Africa,33,33,25,8,390,581,43,2,1,0,57,67.13,15.6,1.61,1.48,0.13,3.35,11.74,7.54
S Movva,27,3,30,17,S Movva,Canada,22,22,16,6,468,743,30,4,3,0,68,62.99,29.25,1.76,1.59,0.18,4.02,7.04,5.53
S Naik,4,3,7,3,S Naik,India,4,4,3,1,25,39,1,0,0,0,24,64.1,8.33,2.33,1.33,1.0,0.21,1.64,0.92
