player,team_bat,matches_bat,innings_bat,dismisals,not_out,runs,balls_bat,fours,sixes,50s,100s,highest_score,strike_rate_bat,average_bat,team_bowl,matches_bowl,innings_bowl,overs,balls_bowl,runs_conceded,wickets,economy,average_bowl,strike_rate_bowl,dot_pct,4w,5w,best_bowling,runs_score,bat_avg_score,wickets_score,econ_score,impact_score
MR Marsh,Australia,93,93,81,12,3066,3314,283,101,20,4,177,92.52,37.85,Australia,69,69,376.2,2257,2047,57,5.44,35.91,39.6,47.59,2,1,5/33,0.33282674772036475,0.6801437556154538,0.20430107526881722,0.11544715447154474,32.03
Mahmudullah,Bangladesh,189,189,142,47,5131,6811,392,99,29,4,128,75.33,36.13,Bangladesh,137,137,681.0,4086,3605,83,5.29,43.43,49.23,43.66,1,0,4/13,0.5569908814589666,0.6492362982929021,0.2974910394265233,0.1398373983739838,41.42
Mohammad Hafeez,Pakistan,202,202,187,15,6351,8347,635,106,37,11,140,76.09,33.96,Pakistan,164,164,1217.2,7303,5081,142,4.17,35.78,51.43,51.16,3,1,5/38,0.6894268345636126,0.6102425876010782,0.5089605734767025,0.3219512195121952,54.6
NLTC Perera,Sri Lanka,128,128,114,14,2233,2045,168,83,10,1,140,109.19,19.59,Sri Lanka,152,152,962.7,5776,5632,183,5.85,30.78,31.56,47.23,10,4,6/44,0.24240121580547114,0.35202156334231804,0.6559139784946236,0.0487804878048782,34.97
NR Sciver,England,70,70,59,11,2668,2842,281,19,16,5,148,93.88,45.22,England,73,73,411.5,2469,1859,64,4.52,29.05,38.58,54.39,2,1,5/60,0.289622231871472,0.8125786163522013,0.22939068100358423,0.26504065040650415,37.12
PD Collingwood,England,145,145,116,29,4148,5507,300,60,23,3,120,75.32,35.76,England,120,120,715.5,4293,3488,98,4.87,35.59,43.81,47.43,1,0,4/15,0.4502822405557968,0.6425876010781671,0.35125448028673834,0.208130081300813,41.06
RA Jadeja,India,137,137,89,48,2880,3466,209,55,13,0,87,83.09,32.36,India,199,199,1721.7,10330,8470,244,4.92,34.71,42.34,48.93,11,2,5/33,0.3126356925749023,0.5814914645103324,0.8745519713261649,0.20000000000000007,51.25
S Luus,South Africa,111,111,94,17,2831,4062,278,17,19,2,114,69.69,30.12,South Africa,88,88,541.8,3251,2534,96,4.68,26.4,33.86,49.77,3,2,6/45,0.30731654363873206,0.5412398921832885,0.34408602150537637,0.23902439024390254,35.15
SB Styris,New Zealand,97,97,82,15,3184,3970,260,41,22,3,141,80.2,38.83,New Zealand,93,93,544.2,3265,2544,76,4.67,33.47,42.96,51.67,2,0,4/22,0.345636126791142,0.6977538185085355,0.2724014336917563,0.2406504065040651,37.31
SC Williams,Zimbabwe,130,130,116,14,4351,4990,401,52,31,6,174,87.19,37.51,Zimbabwe,111,111,707.3,4244,3552,77,5.02,46.13,55.12,47.55,2,0,4/41,0.47231871471993053,0.6740341419586703,0.27598566308243727,0.18373983739837407,39.6
SFM Devine,New Zealand,86,87,82,5,3085,3541,311,53,14,8,137,87.12,37.62,New Zealand,72,72,450.8,2705,2117,59,4.7,35.88,45.85,55.67,0,0,3/24,0.3348892748588797,0.676010781671159,0.2114695340501792,0.2357723577235773,34.63
